,Representative,Metric,Num,Unit
2158,4S1B,Kd,0.3,uM
2159,4JMU,ic50,3.4,uM
2160,2UYQ,Kd,2.1,uM
2161,1X8D,Kd,6.16,mM
2162,5F1H,Kd,14.1,nM
2163,4XY8,ic50,3.5,uM
2164,5IGM,Kd,41.7,nM
2165,4Z6H,Kd,612.0,nM
2166,5F1L,ic50,21.0,nM
2167,5F25,Kd,9.1,uM
2168,5EU1,Kd,15.4,nM
2169,5F2P,Kd,37.5,uM
2170,4WYU,Kd,7.3,uM
2171,3IX1,Kd,200.0,nM
2172,4QVX,Ki,0.01,nM
2173,5E+76,Ka,300000.0,M^-1
2174,2VFK,Kd,194.0,uM
2175,5C4L,Kd,2.3,uM
2176,5GZK,Ki,1.9,mM
2177,5G0G,ic50,5.45,nM
2178,3VY6,Kd,7.0,mM
2179,3VZE,Kd,13.0,mM
2180,3M3R,Kd,1.45e-06,M
2181,5IKI,Kd,63.84,uM
2182,5N8V,Ki,0.207,uM
2183,5L87,Ki,8.43,uM
2184,5L8A,Ki,12.3,uM
2185,3DZT,Kd,60.0,nM
2186,5DB3,ic50,12.0,nM
2187,5DDE,ic50,65.0,nM
2188,4OG4,ic50,529.0,nM
2189,4OG5,ic50,302.0,nM
2190,5DDB,ic50,82.0,nM
2191,5DDC,ic50,92.0,nM
2192,4OG3,ic50,270.0,nM
2193,5DB1,ic50,22.0,nM
2194,4OG8,ic50,56.0,nM
2195,4X5Y,ic50,14.7,nM
2196,5DB2,ic50,25.0,nM
2197,5DDA,ic50,1653.0,nM
2198,5DDF,ic50,674.0,nM
2199,4OG6,ic50,197.0,nM
2200,5DD9,ic50,779.0,nM
2201,4X5Z,ic50,31.0,nM
2202,4OG7,ic50,114.0,nM
2203,5DB0,ic50,42.0,nM
2204,5DB0,ic50,46.0,nM
2205,5DDD,ic50,260.0,nM
2206,5HA0,Kd,1.0,nM
2207,5H9N,Ka,21000000.0,M^-1
2208,5FAH,ic50,0.7,uM
2209,3E+85,Kd,4.2,uM
2210,2R5A,Kd,2500.0,uM
2211,5N18,Kd,2.1,uM
2212,3HZL,Kd,3000.0,uM
2213,5E7G,Ka,20000.0,M^-1
2214,2RKN,Kd,0.06,uM
2215,2EXX,Kd,13.5,uM
2216,3BHO,Kd,2.44,uM
2217,5LNE,Kd,17.43,uM
2218,3TAY,Kd,0.42,mM
2219,5KAU,Kd,0.3,uM
2220,5KAT,Kd,78.7,uM
2221,5KCB,Kd,0.99,uM
2222,5N1Z,ic50,0.0029,uM
2223,5N20,ic50,61.0,uM
2224,3LBZ,Ki,147.0,uM
2225,5N21,ic50,0.35,uM
2226,5E+50,Kd,7.0,uM
2227,4PB2,Kd,16.0,uM
2228,4PD6,Kd,36.0,uM
2229,5TVJ,ic50,0.08,uM
2230,5EBV,ic50,0.23800000000000002,uM
2231,5EC4,ic50,0.23399999999999999,uM
2232,5IV0,ic50,5.8,uM
2233,4W4S,ic50,9.5,uM
2234,4XOE,Kd,9.9,uM
2235,5BTX,Kd,280.0,uM
2236,3KIV,Kd,20.0,uM
2237,5N2D,ic50,100.0,nM
2238,4GQP,Kd,0.79,nM
2239,3GKZ,Kd,10.0,nM
2240,3GM0,Kd,17.0,nM
2241,4LKK,Kd,0.33,uM
2242,5D3X,Kd,440.0,nM
2243,5D3Y,Kd,440.0,nM
2244,3R51,Kd,142.0,uM
2245,4DDN,Kd,244.0,uM
2246,3R52,Kd,498.0,uM
2247,3GXZ,Kd,13.0,nM
2248,5WUK,Kd,14.0,nM
2249,5H17,ic50,0.89,uM
2250,5U5T,ic50,3.9,uM
2251,5H19,ic50,0.32,uM
2252,5GSA,Kd,82.5,nM
2253,5H14,ic50,8.76,uM
2254,5U62,ic50,1.3,uM
2255,5H15,ic50,1.57,uM
2256,5G4R,ic50,7.943,nM
2257,5T4U,ic50,4800.0,nM
2258,5EWH,Kd,170.0,uM
2259,5C85,Kd,105.0,uM
2260,5E3D,Kd,95.0,uM
2261,5T4V,ic50,60.0,nM
2262,5EQ1,Kd,21.0,uM
2263,5G4S,ic50,1.0,uM
2264,5EPR,Kd,91.0,uM
2265,5MYG,Kd,31.0,nM
2266,5ETB,Kd,29.0,uM
2267,4UYE,ic50,79.4,nM
2268,5C7N,Kd,0.27,uM
2269,5EPS,Kd,38.0,uM
2270,5D7X,Kd,15.0,uM
2271,2Q2A,Kd,0.039,uM
2272,2PVU,Kd,0.49,uM
2273,2Q2C,Kd,0.42,uM
2274,3TD3,Kd,0.59,uM
2275,3TD4,Kd,2.2,uM
2276,2ACO,Kd,2.5,uM
2277,4N7C,Ka,22200000.0,M^-1
2278,4RYL,ic50,31.0,nM
2279,4BJX,ic50,22.0,nM
2280,4UYD,ic50,79.4,uM
2281,5G1N,Kd,1.4,uM
2282,5LN8,Kd,44.3,mM
2283,4XUB,ic50,1.07,uM
2284,4XUA,ic50,26.0,uM
2285,5MGF,Kd,54.0,uM
2286,4NRB,ic50,38.0,uM
2287,4NRC,ic50,241.0,uM
2288,4NRA,Kd,65.0,uM
2289,5MGE,Kd,87.0,uM
2290,5OR9,Kd,88.0,uM
2291,5E+74,Kd,39.0,uM
2292,5E+73,Kd,23.0,uM
2293,3CR4,Kd,35.0,uM
2294,3GK2,Kd,2.0,mM
2295,5DKN,ic50,2222.1,uM
2296,3LK1,Kd,55.2,uM
2297,3GK4,Kd,120.0,uM
2298,5DKR,ic50,66.6,uM
2299,3LK0,Kd,696.9,uM
2300,3CR5,Kd,64.0,uM
2301,3GK1,Kd,80.0,uM
2302,5FNU,Kd,0.0013,uM
2303,5FNT,Kd,0.67,uM
2304,4L7C,ic50,7.4,uM
2305,5FNR,Kd,59.0,uM
2306,5FNS,Kd,4.0,uM
2307,1X2R,Ka,5510000.0,M^-1
2308,4L7D,ic50,0.75,uM
2309,5X54,Kd,10.0,uM
2310,4L7B,ic50,2.3,uM
2311,4IQK,ic50,2.7,uM
2312,4XMB,ic50,63.0,nM
2313,4UYW,Kd,6.4,uM
2314,5GOE,Kd,45.7,uM
2315,5GOF,Kd,90.1,uM
2316,4JMO,Ki,1.61,mM
2317,4JXH,Ki,3.72,mM
2318,4ETZ,Kd,0.5,uM
2319,4EU0,Kd,0.5,uM
2320,4DN0,Kd,1.9,uM
2321,4EUV,Kd,0.5,uM
2322,3LF0,Kd,1.93,uM
2323,5HZX,ic50,2.8,nM
2324,3NJQ,Kd,1.7,uM
2325,5HDA,Kd,7.4,uM
2326,5DW1,Kd,185.0,nM
2327,5IG6,Kd,213.7,uM
2328,4J1P,Kd,0.20600000000000002,uM
2329,5KQG,Ki,3.2,uM
2330,4MUV,Kd,336.0,nM
2331,3LXI,Kd,9.1,uM
2332,4K7O,Kd,50.0,uM
2333,4K7N,Kd,330.0,uM
2334,4K7I,Kd,1500.0,uM
2335,4MMM,Kd,150.0,uM
2336,2GGX,ic50,0.32,mM
2337,2RIA,ic50,2.7,mM
2338,2ORK,ic50,1.4,mM
2339,2GGU,ic50,0.94,mM
2340,2RID,ic50,1.7,mM
2341,3DNT,Kd,18.0,uM
2342,5KEW,Kd,315.4,nM
2343,3S0E,Kd,90.0,nM
2344,3S0B,Kd,0.32,uM
2345,3S0D,Kd,280.0,nM
2346,5HK9,ic50,0.29,uM
2347,5HKA,ic50,0.35,uM
2348,4YX9,Ki,4.5,uM
2349,5HKB,ic50,2.6,uM
2350,4OCX,Kd,3.6,pM
2351,5E6O,Kd,76.9,uM
2352,5F74,Kd,7.6,uM
2353,4OUJ,Kd,1.4,mM
2354,5V1B,ic50,0.034,uM
2355,5KWW,Kd,7.4,nM
2356,5EA4,Kd,7.8,nM
2357,4DO1,Kd,0.28,uM
2358,4EGN,Kd,29.5,uM
2359,4EGO,Kd,44.4,uM
2360,5IQL,Kd,31.7,uM
2361,5LJI,Kd,83.0,nM
2362,5AEI,Kd,1.1,nM
2363,3FEA,Kd,36.0,nM
2364,3U15,ic50,41.0,nM
2365,3FE7,Kd,75.0,nM
2366,4K76,Ki,4.5,uM
2367,4NMT,Kd,22.3,uM
2368,4K78,Ki,16.2,uM
2369,4K6Y,Ki,14.8,uM
2370,4JOE,Ki,275.0,uM
2371,4JOJ,Ki,110.0,uM
2372,4JOR,Ki,490.0,uM
2373,4JOG,Ki,190.0,uM
2374,4NMO,Kd,39.5,uM
2375,4JOK,Ki,85.3,uM
2376,4K75,Ki,56.2,uM
2377,4JOH,Ki,450.0,uM
2378,4NMP,Kd,122.0,uM
2379,4NMQ,Kd,64.6,uM
2380,4NMR,Kd,298.0,uM
2381,4NMV,Kd,20.0,uM
2382,4JOF,Ki,68.0,uM
2383,4NMS,Kd,27.9,uM
2384,4EO3,Kd,68.0,nM
2385,2PZE,Kd,0.84,uM
2386,5B2D,Kd,56.0,uM
2387,3QX9,Kd,0.09,mM
2388,3LUH,Kd,3.3,mM
2389,3LUD,Kd,0.26,mM
2390,3LUJ,Kd,0.12,mM
2391,3QX8,Kd,1.37,mM
2392,3LUG,Kd,3.6,mM
2393,4XRZ,ic50,0.37,uM
2394,4XRY,ic50,13.9,uM
2395,3U3Z,Kd,0.7,uM
2396,4AVV,Kd,0.0088,uM
2397,2A3Y,ic50,3.8,uM
2398,4AYU,Kd,18.6,uM
2399,2A3W,ic50,3.8,uM
2400,2W08,Kd,380.0,uM
2401,5KLP,Kd,22.7,uM
2402,2JLB,Kd,4.2,uM
2403,2XGS,Kd,0.11,mM
2404,3LL2,Kd,0.51,uM
2405,4LO6,Kd,0.5,mM
2406,3R96,Kd,1.03,mM
2407,5KXE,Kd,5.45,uM
2408,2WR8,Ki,3.6,uM
2409,5EB3,Kd,35.2,mM
2410,5KBE,Kd,0.46,uM
2411,3GZ8,Kd,17.9,uM
2412,5A7C,ic50,1e-08,M
2413,4USI,ic50,1.18,mM
2414,4LO2,Kd,1.0,mM
2415,4LO3,Kd,1.0,mM
2416,4LO1,Kd,1.8,mM
2417,5BQU,Kd,1.37,mM
2418,5GMV,Kd,1.78,uM
2419,5N1X,Kd,689.0,uM
2420,5X4Q,Kd,0.078,uM
2421,5X9O,Kd,5.0,uM
2422,5X4P,Kd,9.3,uM
2423,5X4O,Kd,88.0,uM
2424,5H7H,ic50,170.0,uM
2425,5X4N,Kd,68.0,uM
2426,5X4M,Kd,1200.0,uM
2427,5X9P,ic50,0.13,uM
2428,2XBK,Kd,4.0,uM
2429,5WUU,ic50,0.81,uM
2430,3UWB,ic50,10.0,nM
2431,5XG5,Kd,0.33,mM
2432,5HIP,Kd,0.9,uM
2433,2Q0I,Kd,29.1,uM
2434,5HIS,Kd,19.6,uM
2435,2Q0J,Kd,29.1,uM
2436,3NHT,Kd,98.0,nM
2437,2PUY,Kd,30.0,uM
2438,5N17,Kd,4.8,uM
2439,5N16,Kd,5.0,uM
2440,4ZB6,Kd,0.53,uM
2441,4WEY,Kd,318.0,uM
2442,4ZIJ,Kd,565.0,uM
2443,4WF4,Kd,777.0,uM
2444,4WET,Kd,444.0,uM
2445,4WF5,Kd,777.0,uM
2446,4RT1,Kd,0.73,uM
2447,4RT0,Kd,3.13,uM
2448,4CL6,Kd,4.0,uM
2449,4G8R,ic50,25.0,nM
2450,1A7C,Kd,100.0,uM
2451,3RF4,Ki,0.56,uM
2452,3RF5,Ki,2.37,uM
2453,5G0H,ic50,9.88,nM
2454,4U7W,Kd,45.0,uM
2455,5MES,ic50,0.045,uM
2456,4FEM,Kd,86.96,uM
2457,3M89,Kd,0.69,uM
2458,5AB1,ic50,3.8,uM
2459,2CBO,Kd,40.15,uM
2460,4IKN,Kd,14.0,uM
2461,5DN9,Kd,92.0,uM
2462,3GPO,Kd,5.0,uM
2463,2PFY,Kd,0.3,uM
2464,5W3Y,Kd,57.2,uM
2465,5CSD,Kd,2.3,uM
2466,5FB7,Kd,2.3,uM
2467,4OWK,Kd,131.0,uM
2468,4OWL,Kd,152.0,uM
2469,2HZQ,Kd,1.0,uM
2470,3KYF,Kd,165.0,nM
2471,5BVB,Kd,0.498,uM
2472,5LUB,ic50,0.7,uM
2473,2QEH,Kd,2.4,nM
2474,2PQL,Kd,53.0,nM
2475,3QYY,Kd,8.26,uM
2476,4EIP,Kd,20.0,uM
2477,4G0P,Kd,0.98,mM
2478,4G0Q,Kd,3.0,mM
2479,4G0Y,Kd,4.99,mM
2480,4G0Z,Kd,6.13,mM
2481,4ZV1,Kd,5.7,uM
2482,4ZV2,Kd,1.2,mM
2483,2HYR,Kd,394.0,uM
2484,4UYF,Kd,4.4,nM
2485,1AF6,Kd,15.0,mM
2486,5F6U,ic50,3.0,mM
2487,5F6W,ic50,5.8,mM
2488,5F6V,ic50,5.8,mM
2489,5MRH,ic50,6.31e-05,M
2490,4ZB8,Kd,0.94,uM
2491,4ZBD,Kd,1.6,uM
2492,5WRE,ic50,0.39,uM
2493,5T2P,ic50,1.9,uM
2494,5UDK,ic50,500.0,nM
2495,3TJH,Kd,3.9,uM
2496,5GS9,Kd,5.5,uM
2497,2ZE3,Ki,0.9,mM
2498,2VJ0,Kd,21.0,uM
2499,5HCT,ic50,0.054000000000000006,uM
2500,3AQT,Kd,0.19,uM
2501,2VPE,Kd,0.93,uM
2502,4K55,Kd,1.45e-06,M
2503,4JKW,Kd,6.99e-05,M
2504,5IF4,Ki,1.0,nM
2505,4OQ6,ic50,3.3,uM
2506,3WIY,ic50,0.61,uM
2507,5FC4,Ki,231.0,nM
2508,3WIX,ic50,0.54,uM
2509,4HW3,Ki,0.32,uM
2510,5KU9,ic50,1.49,uM
2511,4ZBI,Ki,0.31,uM
2512,4ZBF,Ki,0.07400000000000001,uM
2513,5U6D,Ki,2.6,nM
2514,5U8A,Ki,13.0,nM
2515,5TTW,Kd,1.09,uM
2516,5U69,Ki,600.0,nM
2517,5U5H,ic50,1.3,uM
2518,5U8F,Ki,11.0,nM
2519,5H13,ic50,11.58,uM
2520,5U5K,ic50,95.0,uM
2521,5M7P,Kd,70.0,uM
2522,4TMZ,Kd,0.92,uM
2523,4TMW,Kd,4.1,uM
2524,5EJL,Kd,0.24,uM
2525,5FJZ,Kd,10.0,uM
2526,5FJX,Kd,11.0,uM
2527,4D62,Kd,3.64,mM
2528,4D63,Kd,7.0,mM
2529,5HFF,Kd,0.5,uM
2530,5HFB,Kd,26.9,uM
2531,5HEB,Kd,0.8,uM
2532,5HED,Kd,36.0,uM
2533,5HF1,Kd,1.8,uM
2534,5HFC,Kd,1.9,uM
2535,5HEY,Kd,2.2,uM
2536,5L92,Kd,91.0,uM
2537,5L91,Kd,91.0,uM
2538,5L94,Kd,105.0,uM
2539,5VOM,ic50,0.79,uM
2540,2RBK,Ki,510.0,nM
2541,2RAR,Ki,700.0,uM
2542,2RB5,Ki,65.0,uM
2543,2RAV,Ki,26.0,uM
2544,2ZHP,Ka,47100000.0,M^-1
2545,3ZLR,Kd,0.6,nM
2546,4C52,ic50,22.0,uM
2547,4C5D,ic50,13.0,uM
2548,1PK8,Kd,120.0,nM
2549,1PX2,Kd,120.0,nM
2550,5JWM,ic50,3.09,nM
2551,2YEM,ic50,15.5,nM
2552,5UOO,ic50,7.2,nM
2553,2VMD,Kd,0.95,mM
2554,2VMC,Kd,1.15,mM
2555,5T8R,Kd,51.0,uM
2556,4OIC,Kd,31.3,uM
2557,4MN3,ic50,6.2,uM
2558,3QXV,Kd,5.0,nM
2559,3QXT,Kd,6700.0,nM
2560,4XT8,ic50,0.28,uM
2561,4XT7,ic50,93.5,uM
2562,4BQO,Kd,58.0,uM
2563,4N7U,Kd,0.5,uM
2564,2FF4,Kd,185.0,uM
2565,2VNF,Kd,3.0,uM
2566,5LB7,Kd,9.0,uM
2567,3ACL,Kd,0.6,uM
2568,3RLB,Kd,120.0,pM
2569,4Y4V,Kd,224.0,uM
2570,4YJ1,Kd,885.0,nM
2571,4RKX,Ki,8.0,uM
2572,3Q8D,Kd,0.34,uM
2573,3RUL,Kd,0.14,uM
2574,3JQM,Kd,44.4,uM
2575,4UIN,Kd,24.0,nM
2576,5NGZ,Kd,1.3,mM
2577,3V0W,Kd,32.0,nM
2578,2FQX,Kd,71.0,nM
2579,2FQW,Kd,210.0,nM
2580,2FQY,Kd,270.0,nM
2581,5J75,Ki,0.63,nM
2582,5N49,ic50,60.0,nM
2583,2VYT,Kd,1.84,mM
2584,3F70,Kd,4000.0,uM
2585,4OMJ,Kd,5.44,uM
2586,4OMK,Kd,40.1,uM
2587,5JNW,ic50,0.46,uM
2588,3QQA,Kd,1.5,uM
2589,3QPS,Kd,2.5,uM
2590,1UAD,Ka,7260000.0,M^-1
2591,1II5,Kd,240.0,nM
2592,5TEF,Kd,4.0,uM
2593,5THA,Kd,140.0,uM
2594,5F7V,Kd,2.0,uM
2595,4ZH7,Kd,227.0,uM
2596,3O5N,Ki,17.2,uM
2597,1UTC,Kd,28.0,uM
2598,3LKJ,ic50,25.0,uM
2599,5AHW,Kd,3.32,uM
2600,3HGM,Kd,0.8,uM
2601,4ZBR,Ka,39000.0,M^-1
2602,4ZBR,Ka,7730000.0,M^-1
2603,5DQF,Kd,320.0,uM
2604,5DBY,Ka,7730000.0,M^-1
2605,5DBY,Ka,39000.0,M^-1
2606,4ZBQ,Ka,39000.0,M^-1
2607,4BPS,Ki,1.02,mM
2608,2WR9,Kd,2.6,uM
2609,2VNV,Kd,2.75,uM
2610,2WRA,Kd,26.9,uM
2611,5DNU,Kd,77.6,uM
2612,3EBB,Kd,5.0,uM
2613,2J9L,Kd,100.0,uM
2614,3ZQE,Kd,59.0,uM
2615,3HP8,Kd,7.3,mM
2616,3CH8,Kd,56.0,nM
2617,2QBW,Kd,60.0,nM
2618,5C0M,Kd,1.4,uM
2619,5CS2,ic50,0.004,uM
2620,1R0X,Kd,149.0,uM
2621,5D6Y,Kd,2.2,uM
2622,2GFA,Kd,10.4,uM
2623,4A3X,Kd,31.9,uM
2624,4YHO,ic50,2.6,nM
2625,4YHK,ic50,4.6,nM
2626,4YHM,ic50,4.6,nM
2627,4YHI,ic50,4.6,nM
2628,2O1V,Kd,5.0,uM
2629,3O6M,Kd,33.0,nM
2630,3LSJ,Kd,2.06,uM
2631,2HYQ,Kd,88.3,uM
2632,4XHV,Kd,50.0,uM
2633,4UP5,Kd,2.5,mM
2634,2RDE,Kd,97.1,nM
2635,2I5F,ic50,2.2,uM
2636,4I53,Kd,110.0,nM
2637,5LXC,ic50,10.8,nM
2638,2XBP,Kd,9.6,uM
2639,4MDR,Kd,40.6,uM
2640,2WN2,Kd,27.2,uM
2641,2WN3,Kd,49.4,uM
2642,2W95,Kd,302.0,uM
2643,1DUV,Kd,1.6,pM
2644,1Z4O,Ki,30.0,uM
2645,4C4R,Kd,1.3,mM
2646,4C4S,Kd,0.66,mM
2647,1Z4N,Ki,30.0,uM
2648,1Q7B,Kd,3.5,uM
2649,4BNU,ic50,0.02,uM
2650,4BNT,ic50,137.69,uM
2651,4BNY,ic50,0.08,uM
2652,4BNV,ic50,0.03,uM
2653,4BO1,ic50,0.05,uM
2654,4BO0,ic50,0.2,uM
2655,4BO2,ic50,0.05,uM
2656,4BNX,ic50,0.02,uM
2657,4BO3,ic50,0.3,uM
2658,4BNZ,ic50,0.26,uM
2659,3SJ7,Kd,53.93,uM
2660,1UZN,Kd,11.2,uM
2661,3E8N,ic50,19.0,nM
2662,3ZLY,ic50,300.0,uM
2663,3ZLS,ic50,39.4,uM
2664,3ZLW,ic50,198.0,uM
2665,3ZLX,ic50,157.0,uM
2666,3ZM4,ic50,1.1,uM
2667,2W3O,Kd,10.0,uM
2668,1VYP,Kd,0.07,uM
2669,1H60,Kd,20.0,uM
2670,2ABA,Kd,0.7,uM
2671,1VYS,Kd,0.24,uM
2672,1H62,Kd,17.0,uM
2673,1H61,Kd,13.0,uM
2674,1VYR,Kd,5.4,uM
2675,2H8Z,Kd,2.5,uM
2676,2H90,Kd,5.0,uM
2677,3L5M,Kd,8.4,uM
2678,3L68,Kd,69.2,uM
2679,5CPM,Kd,27.0,uM
2680,3L66,Kd,20.9,uM
2681,5CPL,Kd,25.0,uM
2682,3C6K,Ki,0.3,uM
2683,3C6M,Ki,0.3,uM
2684,1OZ0,Kd,20.0,nM
2685,1M9N,Ki,0.12,uM
2686,2B1G,Ki,0.23,uM
2687,1THZ,Ki,7.1,uM
2688,2B1I,Ki,0.15,uM
2689,1PKX,Ki,0.12,uM
2690,5BNS,ic50,0.095,uM
2691,5BNM,ic50,15.0,uM
2692,1MZS,ic50,7.0,uM
2693,5BNR,ic50,0.53,uM
2694,4Z8D,ic50,6.0,uM
2695,5LD8,Kd,9.0,nM
2696,4C71,Ki,384.0,uM
2697,4C72,Ki,8.2,uM
2698,4C6U,Kd,25.6,uM
2699,4C6X,Ki,175.0,uM
2700,4C70,Ki,305.0,uM
2701,4C73,Ki,12.1,uM
2702,4C6Z,Ki,357.0,uM
2703,2VBA,Kd,25.0,uM
2704,1FJ4,ic50,25.0,uM
2705,2AQ7,ic50,500.0,uM
2706,2AQB,Kd,500.0,uM
2707,2V2V,Ki,85.8,uM
2708,2V2Q,Ki,712.0,uM
2709,1O7Q,Kd,0.032,mM
2710,1GWV,Kd,2.68,mM
2711,1GWV,Kd,0.053,mM
2712,1GX4,Kd,0.58,mM
2713,1GX4,Kd,0.053,mM
2714,2VFZ,Ki,245.0,uM
2715,1O7O,Kd,2.69,mM
2716,1VZT,Kd,0.032,mM
2717,1GWW,Kd,0.258,mM
2718,2QRK,Ki,55.0,uM
2719,2QRL,Ki,100.0,uM
2720,2P3T,Ki,0.005,nM
2721,3IIT,ic50,9.5,nM
2722,2Q1J,ic50,0.0008,uM
2723,3KQC,Ki,2.2,nM
2724,2P95,Ki,0.43,nM
2725,2Y5F,Ki,2.0,nM
2726,2W26,Ki,0.4,nM
2727,2XC4,Ki,0.009000000000000001,uM
2728,3FFG,Ki,0.84,nM
2729,2FZZ,Ki,30.0,pM
2730,3KQE,Ki,8.1,nM
2731,2P93,Ki,1.5,nM
2732,2W3K,ic50,0.08,nM
2733,1MQ6,Ki,7.0,pM
2734,1Z6E,Ki,0.19,nM
2735,2BQ7,Ki,89.0,nM
2736,3KL6,ic50,1e-08,M
2737,2XBV,Ki,7.0,nM
2738,2RA0,Ki,15.9,nM
2739,2BOK,Ki,0.28,uM
2740,2W3I,ic50,0.1,nM
2741,2PR3,ic50,0.16,nM
2742,3LIW,Ki,0.025,uM
2743,3Q3K,ic50,7.4,nM
2744,2PHB,ic50,0.32,nM
2745,2Y5G,Ki,146.0,nM
2746,2XC5,Ki,0.062,uM
2747,2XBW,Ki,0.01,uM
2748,3CS7,Ki,0.021,nM
2749,2EI6,ic50,753.0,nM
2750,2XC0,Ki,0.192,uM
2751,2JKH,Ki,9.0,nM
2752,3KQB,Ki,0.5,nM
2753,1FJS,Ki,0.11,nM
2754,2EI7,ic50,16.0,nM
2755,2P16,Ki,0.08,nM
2756,2Y5H,Ki,1620.0,nM
2757,1MQ5,Ki,1.0,nM
2758,2XBX,Ki,0.015,uM
2759,2P94,Ki,0.67,nM
2760,2G00,Ki,0.18,nM
2761,1V3X,ic50,24.0,nM
2762,3CEN,Ki,5.5,nM
2763,2VH6,Ki,0.2,nM
2764,2Y82,Ki,4.0,nM
2765,1KSN,Ki,0.4,nM
2766,1LPK,Ki,28.0,nM
2767,1EZQ,Ki,0.9,nM
2768,2WYG,Ki,2.0,nM
2769,2VH0,Ki,1.0,nM
2770,2BOH,Ki,3.0,nM
2771,2J38,Ki,47.0,nM
2772,1F0R,Ki,22.0,nM
2773,2Y7Z,Ki,2.0,nM
2774,1NFX,Ki,3.0,nM
2775,2Y81,Ki,2.0,nM
2776,1NFY,Ki,1.3,nM
2777,2J4I,Ki,1.0,nM
2778,2UWO,Ki,2.0,nM
2779,2J2U,Ki,90.0,nM
2780,2Y7X,Ki,1.0,nM
2781,4Y79,Ki,11.0,nM
2782,1LPG,Ki,82.0,nM
2783,2J94,Ki,534.0,nM
2784,2CJI,Ki,6.0,nM
2785,1LPZ,Ki,25.0,nM
2786,2Y80,Ki,9.0,nM
2787,2UWL,Ki,4.0,nM
2788,2WYJ,Ki,1.0,nM
2789,2UWP,Ki,154.0,nM
2790,2J34,Ki,15.0,nM
2791,1F0S,Ki,18.0,nM
2792,1NFW,Ki,1.1,nM
2793,2J95,Ki,4.0,nM
2794,4BTI,ic50,0.2,nM
2795,3K9X,ic50,4.0,nM
2796,1G2L,Ki,57.0,nM
2797,3SW2,ic50,13.0,nM
2798,1XKB,Ki,131.0,nM
2799,1XKA,Ki,131.0,nM
2800,4BTU,ic50,0.5,nM
2801,3HPT,ic50,12.0,nM
2802,3ENS,ic50,8.9,nM
2803,1WU1,ic50,18.0,nM
2804,4A7I,Ki,0.002,uM
2805,1NFU,Ki,18.0,nM
2806,1TXR,Ki,18.0,nM
2807,1IGB,Ki,0.4,uM
2808,3VH9,Ki,0.58,uM
2809,1CP6,Ki,10.0,uM
2810,1FT7,Ki,6.6,uM
2811,3B3C,Ki,105.0,uM
2812,3B7I,Ki,65.0,uM
2813,3B7I,Ki,1.5,uM
2814,1F3F,Kd,21.3,uM
2815,4CP5,Kd,452.0,uM
2816,1UCN,Kd,6.0,uM
2817,4QS9,Kd,15.0,uM
2818,4QS7,Kd,89.0,uM
2819,4MO4,Kd,0.06,mM
2820,2E2P,Ki,18.0,uM
2821,2RCU,ic50,210.0,nM
2822,3TGE,ic50,0.07,nM
2823,2CHM,ic50,5.5,nM
2824,3HDZ,ic50,51.0,nM
2825,2H44,ic50,1.7,uM
2826,2H42,ic50,2.4,nM
2827,4MD6,ic50,17.0,nM
2828,1UHO,Kd,0.6,nM
2829,1UDT,Kd,0.5,nM
2830,4IA0,ic50,77.0,nM
2831,3SIE,ic50,13.3,nM
2832,3HC8,ic50,2.9,nM
2833,1XP0,ic50,0.001,uM
2834,1XOZ,ic50,0.0012,uM
2835,4I9Z,ic50,18.2,nM
2836,4OEX,Kd,1.45e-06,M
2837,4G2Y,ic50,1.6,nM
2838,4OEW,Kd,1.45e-06,M
2839,4E+90,ic50,8.0,nM
2840,2HD1,ic50,500.0,uM
2841,4G2J,ic50,14.0,nM
2842,3JSW,ic50,66.0,nM
2843,3SHZ,ic50,35.9,nM
2844,4G2W,ic50,1000.0,nM
2845,4QGE,ic50,0.6,nM
2846,3QI4,ic50,117.2,uM
2847,4Y86,ic50,58.0,nM
2848,4Y86,ic50,11.0,nM
2849,3HR1,ic50,0.37,nM
2850,3HQW,ic50,51.0,nM
2851,3QPO,ic50,247.0,nM
2852,2OVV,Kd,12.0,nM
2853,3QPN,ic50,17.0,nM
2854,3HQZ,ic50,0.42,nM
2855,2O8H,Ki,25.0,nM
2856,3HQY,ic50,11.5,nM
2857,2OVY,Ki,4.0,nM
2858,3QPP,ic50,12.0,nM
2859,3BJC,ic50,110.0,nM
2860,5LP1,ic50,0.39799999999999996,nM
2861,5JAP,ic50,0.23,uM
2862,5LZ4,ic50,3.0,uM
2863,5JAL,Kd,980.0,uM
2864,5JAS,ic50,1.7,uM
2865,5LZ9,ic50,0.12,uM
2866,5LZ2,ic50,1.0,mM
2867,5JAT,ic50,0.23,uM
2868,5LZ8,ic50,0.98,uM
2869,5JAU,ic50,0.0014,uM
2870,5LZ7,ic50,1.0,uM
2871,5LYY,ic50,14.0,uM
2872,5JAR,ic50,2.0,uM
2873,5LZ5,ic50,1.6,uM
2874,5I8P,Kd,0.185,uM
2875,5JAD,Kd,3.4,mM
2876,3BXD,Ki,62.0,uM
2877,2OYL,Ki,0.5,uM
2878,2OYM,Ki,10.0,uM
2879,2OYK,Ki,5.0,uM
2880,1RSD,ic50,0.3,uM
2881,1RRW,ic50,28.0,uM
2882,1RRI,ic50,1.5,uM
2883,1RSI,ic50,38.0,uM
2884,1RS2,ic50,50.0,uM
2885,2Q6B,ic50,0.3,nM
